titre,entreprise,lieu,salaire_min,salaire_max,remote,description,lien,date_scraping,source,tags
Data Scientist Senior — Expert IA Générative,Craftman data,,,,False,"Data Scientist Senior ? Expert IA Générative

Minimum 5 ans en Data Science, dont 2+ ans en IA Générative

AWS (GCP accepté si expertise confirmée)

Mon client recherche un expert Data Scientist avec ",https://fr.indeed.com/viewjob?jk=afec0f8b1b7732aa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
Data Scientist Senior Ajouter aux favoris,confidential,,,,False,"Mission

Fondée en 1969, Cegedim est une entreprise innovante de technologies et de services spécialisée dans la gestion des flux numériques de l'écosystème santé et BtoB, ainsi que dans la conception",https://fr.jooble.org/jdp/-5768270254091610662?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
AP26 - BAC +5 - Data scientist,RENAULT s.a.s.,,,,False,Société RENAULT s.a.s. Descriptif du poste Contexte et environnement de travail Renault Group poursuit son engagement envers les jeunes au travers la formation par l’alternance et les stages. Réalisez,https://alliancewd.wd3.myworkdayjobs.com/fr-FR/renault-group-careers/job/AP26---BAC--5---Data-scientist_JOBREQ_50250010?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
Data Scientist (Paris),Sanofi,,,,False,"Data Scientist

This job offer is accessible to all, regardless of gender.

Job title: Data Scientist

Location: Paris

Hybrid: 60% office, 40% remote

Permanent: Fulltime

About the Job

We are a glo",https://jobrxiv.org/job/data-scientist-paris/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
Data Scientist Python - Senior - Lyon,Temeritati LTD,,,,False,"Description de l'entreprise

Temeritati est un cabinet de conseil en management spécialisé dans les secteurs financier et industriel. Notre expertise repose sur le triptyque « Risques & Conformité », ",https://lesjeudis.com/fr/job/data-scientist-python-senior-lyon-405323?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
Market Data Scientist,Laboratoires Théa,Clermont-Ferrand,,,False,"CDI
• *MARKET DATA SCIENTIST - H/F**:
On pourrait commencer par vous donner des chiffres, vous présenter nos valeurs ou notre ambition, même vous raconter l'extraordinaire histoire familiale qui a per",https://fr.trabajo.org/offre-3394-ec8617fa21e78701afcd03cbff85ea65?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
"Lead Data Scientist: Gen AI, ML & DL Engineer",Free-Work,,,,False,"Data Scientist Machine Learning / Deep Learning Aix ASAP

Expérience +2 ans sur l'IA Gen : prompt engineering, context engineering, construction de workflow avec RAG, tool calling, MCP, implémentation","https://fr.whatjobs.com/jobs/lead-data-scientist:-gen-ai,/provence-alpes-cote-d-azur?id=140535189&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-04-05,jsearch,
ALT 2026 - Apprenti Data Analyst ou Data Scientist - Assurance Qualité A320 (F/H),Airbus Group,Le Vernet,,,False,"**Job Description:**
• Et si votre aventure commençait avec nous ?*
• Quel que soit le métier de vos rêves, nous avons peut-être l’apprentissage qu’il vous faut !*

Vous êtes étudiant(e) et à la reche",https://www.jobijoba.com/fr/annonce/54/346a07855a2de7530f4cc3c2ff44f8b0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
Senior Data Scientist - AI/ML Innovator & Mentor,Free-Work,,,,False,"Contexte

Dans le cadre des projets IT Innovation, vous intégrerez l'équipe AI Factory/Innovation en tant que Data Scientist Senior avec une double mission stratégique : veille technologique et dévelo",https://www.jobleads.com/fr/job/senior-data-scientist-ai-ml-innovator-mentor--paris--ed4d26490981959086c2f55f513b7f87b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
Senior Data Scientist - Michelin Mobility Intelligence (MMI) - Connected Solutions (CXS) (F/H),Michelin,Clermont-Ferrand,,,False,"Senior Data Scientist - Michelin Mobility Intelligence (MMI) - Connected Solutions (CXS) (F/H)
- - - - - - - - - - - -
A propos de Michelin Connected Solutions (CXS) & Michelin Mobility Intelligence (",https://lesjeudis.com/fr/job/senior-data-scientist-michelin-mobility-intelligence-mmi-connected-solutions-cxs-fh-407418?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-04-05,jsearch,
Operations & Growth Assistant · weltweit/remote · gut bezahlt,ZWW Deutschland GmbH,Karlsruhe,,,False,"<p>Du willst wachsen, anpacken und direkt mit Gründern aufbauen – nicht irgendwann, sondern jetzt (20-30 Std./Woche).</p>
<p>In Deutschland gibt es Förderprogramme für KMU, Agenturen und Berater, von ",https://www.arbeitnow.com/jobs/companies/zww-deutschland-gmbh/operations-growth-assistant-weltweit-remote-gut-bezahlt-karlsruhe-369874,2026-04-12,arbeitnow,Marketing Assistant
Projektingenieur / Landschaftsarchitekt für den Bereich naturnaher Wasserbau (m/w/d),Stowasserplan GmbH & Co. KG,Radebeul,,,False,<p>Wir sind ein hoch motiviertes 13-köpfiges Team mit einer guten Balance zwischen jungen sowie erfahrenen Mitarbeitern. Mit unseren Projekten schaffen wir nachhaltige und innovative Lösungen zum Wohl,https://www.arbeitnow.com/jobs/companies/stowasserplan-gmbh-co-kg/projektingenieur-landschaftsarchitekt-fur-den-bereich-naturnaher-wasserbau-radebeul-112201,2026-04-12,arbeitnow,Engineering
